idRestaurant,inspectionDate,violationCode,violationDescription,criticalFlag,score,grade,idInspection
41528368,2014-08-15,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,c9e6f8db-c243-42b5-bf6f-1e6ac83bacd1
50053452,2016-09-16,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility's food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,19,,6b065da6-6170-487c-bd57-b8af92507018
50008013,2014-05-07,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,11,A,09a37697-2bb4-4d6e-99ba-ddf8ef5c6c1b
41684955,2014-11-13,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility's food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,26,,b7f0b5d1-e0ca-45e7-ac26-6bd20db6aeeb
41696929,2014-09-18,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility's food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,14,B,9c57a290-ca78-4ecf-8414-c2b05b6abb0f
41711376,2014-07-31,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,407907aa-586b-4fc3-9138-3ef5f914d3ea
40381344,2013-11-13,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,0,,aaf95e46-7cc8-4b34-b918-af6ef611a85e
50000228,2014-12-16,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9,A,02345091-5eb5-45b9-a504-2d6eefcd5036
50016031,2014-10-28,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,10,A,67d5d171-4dee-4b91-8a49-4a24b8a2616b
50002133,2014-09-09,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility's food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,1ef7ccff-2d74-413b-9b62-bc98568366d7
50016259,2016-02-02,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,3ef08b81-4226-45a2-9039-7a3be12437b9
40387339,2016-05-25,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,27,,b4bf6638-6697-415f-a805-9bfae04f03a1
41457023,2015-10-22,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility's food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,20,,ff7512d5-15ff-41a7-ba35-215d84a85e63
50035915,2015-05-07,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,12,,f98665be-518a-4db2-a4cf-ba96f69a404d
41185214,2013-06-12,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,0,,5040b6a6-9ca3-4dca-9536-fb754297c215
41630803,2015-07-07,05F,Insufficient or no refrigerated or hot holding equipment to keep potentially hazardous foods at required temperatures.,Critical,39,,bfc95ad9-caab-487d-bfa1-5ce3d9af77b0
41396994,2016-08-10,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5,A,011a9ddf-78aa-42e2-a5df-fe09631246c8
41327109,2014-04-29,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,5,,cc958ddd-c95c-484c-b426-778555a764a7
41480423,2014-08-05,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13,A,7301bb44-1477-487c-9022-9103a562de93
41702568,2014-05-05,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,7,A,67fbe52b-f2b8-4b5e-818d-daf155538138
40393855,2013-05-17,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,15,B,aebc4be8-b26e-4a48-bb7b-12db2df445d2
40859028,2013-12-24,03A,Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site.,Critical,36,,83de8567-6fa5-4fef-9ca2-4320fdf3bc91
40889676,2014-12-23,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,49,,8a0a87d6-55f2-4d41-bce0-18f17808c0cf
41645673,2015-12-01,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10,A,6bdf0ec6-ea41-458d-8b10-6898599ffab0
41669606,2013-10-28,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility's food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,23,,3f0350a3-164b-4d9d-a8ea-ca5ac36a1406
41611274,2014-05-08,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,12,A,b6b8ab1d-d7e7-46d7-9152-ab66c14a51f6
50003456,2015-12-11,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,12,A,b33daa7a-f515-4d8d-8dee-bb30421259c3
41319232,2016-06-27,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10,A,c983a4b4-1cf0-43b1-8d38-a2df99a720a7
50015243,2015-12-23,18D,"Failure to comply with an Order of the Board of Health, Commissioner, or Department.",Not Critical,0,,c49d31f3-d8f6-447d-ae3a-8b48662914ac
41217606,2013-07-09,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,26,,9d1a0a17-63e2-4df1-82fa-c0b469577bf9
40369580,2016-01-14,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,21,,5db2a2e4-e3a8-4d1c-bddd-3564a4b0f405
41382445,2015-07-07,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,5,A,0e32c098-42d3-4ff7-8c46-0fa15c6a0f7f
50032825,2015-04-14,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,12,A,80b8a612-30f6-4d3c-a523-149529c56669
40398796,2016-04-25,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility's food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,34,,c166567c-08b9-4869-97f2-6e704573ca9c
40956772,2013-04-17,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,28,,97defbcc-24ff-43ee-9d9e-58f04977b674
41266591,2016-10-03,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,29,,c5df6673-6045-456e-b361-ff844261bb9a
50016364,2014-12-10,09B,Thawing procedures improper.,Not Critical,12,A,436f544f-f42c-48dc-a03e-171e7222225f
40617746,2015-03-25,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,4045ac3a-d9cb-4365-9db7-63e04895cf5d
40376687,2014-03-04,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,20,,01b617aa-6437-487f-a093-816a99a1aba7
50002768,2016-02-05,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,53,,3a00eb31-6244-434d-b1ed-7a4673a432fa
41315226,2014-06-26,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,4e76f63b-9a44-4aff-b964-db37ef6bdd20
40364681,2016-05-26,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,14,,352b29a2-29ee-46c6-aa20-499b8fe73b6e
41644384,2013-11-30,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,59,,8ce1c193-b6c0-4d8b-99a8-e4a38f098633
41244379,2016-08-31,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,17,,4e29393e-c641-4ffc-96f8-58d552e13fd6
50005627,2016-09-16,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,34,,117bce4d-d135-4400-b4b7-9dbd12006ec5
40366938,2015-11-19,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,34,C,477ad1e4-d44a-4fc9-936c-d755a6ab72b2
50051448,2016-07-05,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,20,,c05ce39f-b7a8-4174-8189-cca4140f782d
50001812,2013-09-20,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,22,,d5254729-bfc4-4492-abee-91461312b369
41120361,2014-02-26,08B,"Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.",Not Critical,20,B,916c17a7-92c0-4c87-9f17-72bae74ef394
50032820,2015-03-23,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,29,,df8d98f8-f316-42e8-aba8-77ee63ed2308
50001724,2016-05-13,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,17,B,290aa4fc-cce0-487f-b263-e3f1bb01cafb
41469619,2013-10-23,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,26,,62993570-e9e9-406c-9979-bb574deaf15b
41709641,2014-07-02,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility's food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,24,,7badfd9f-d466-4482-83d2-ccea66085dda
41701282,2013-02-14,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,22,B,0e413a63-c016-4b91-b383-ffd8c5188f16
41449137,2014-12-18,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,26,,823aded2-37eb-4949-88c1-737ce914a7f0
50008566,2015-04-22,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,26,,ad9d03fa-213d-41f3-82d2-aa40b48ce955
50015253,2015-05-21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13,,c51a78ba-1e35-4417-978f-da27e735535f
41355657,2014-05-01,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,31,,eeba7324-2918-4c76-9e97-442ca68b041b
50010874,2015-04-22,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,12,A,825af214-7476-40c1-b498-34a4a704875e
41252759,2014-11-05,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,13,A,2513a526-35d2-4f2e-8394-5b621b25e87b
50002803,2015-10-01,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility's food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,66,,c8bb405c-868d-4688-8a46-3431772bc54c
41234254,2014-09-11,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,28,,02f27be9-356f-4ca3-b600-9a30e991f9e1
50005250,2014-04-10,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,0,,d27fb424-c787-4d0d-abfb-ac35ee92860c
41276525,2014-01-09,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,5690a890-893b-48d3-97ee-34a1cbcfc086
40954463,2016-06-23,,,Not Applicable,0,,5716975b-cca0-4d2a-9027-e1c14bbe83d1
50049709,2016-07-21,09C,Food contact surface not properly maintained.,Not Critical,4,A,79a65294-6517-4ab1-b7cc-45576b67cf48
40999249,2015-07-28,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,12,A,607ea357-bb32-494e-8906-33900666c8b8
40605511,2013-08-20,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,28,,e19ec883-ed87-41c9-814d-619feef70d75
41134612,2016-09-20,,,Not Applicable,0,,3b3224cb-e251-461f-9925-90b554ab9228
40561162,2015-08-10,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,63,C,403ee4f9-ea6e-4983-9c20-cd651ba6711e
41460880,2015-09-16,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility's food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,2aa21b6f-3134-4552-8536-6d4a4fbf1323
40919065,2013-06-28,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,12,A,7217efa6-3ea2-41e3-8c32-a6f084010427
50052687,2016-10-13,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,22,Not Yet Graded,5a8459cd-dda2-48de-866e-a84fb822cc9c
50012050,2015-09-22,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,17,B,acd7bc34-9ef7-4ec2-a933-b1feb7453d1b
41688151,2014-03-25,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,21,B,74881d8f-40cf-4dc1-858f-57031a0cb008
50010873,2015-07-11,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility's food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13,A,eceab8e0-0a79-412c-a37e-6002e7235520
41265511,2015-10-19,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,9fbfd6c5-ead7-407f-9621-0a2428b84154
41697391,2016-05-25,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,30,,758ea42c-cbb4-4f66-80b3-fbde52711333
41539993,2014-12-11,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,16,,05b0cf5b-5a1e-42ad-b465-c224012f06d4
41620128,2016-04-13,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,92c691e3-a689-4c5b-8037-466f49210a98
50016122,2014-12-09,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,A,975ab421-82ea-4688-83ee-ec50cae83075
41264084,2013-06-11,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,18,,35edce4e-8751-4eb6-8229-abf5709dce67
41585032,2015-03-20,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,0,,b514cf9e-b7d0-478c-8884-2f926701e4a4
41620680,2016-06-07,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,12,A,f9610f32-eade-494e-8433-ab1d29a08e8c
40399784,2014-12-16,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,6,A,ca8571a2-e4e2-4e15-9bd2-4a9ffd052bb3
50006488,2014-12-30,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,20,,c4019e60-f896-429a-8704-83aee1581514
50004130,2016-09-28,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,32,,fdf4fd8b-4644-428b-907b-3aa23ae2d638
41708194,2014-02-20,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,51,,a12ec77e-84a3-4ed6-b00f-8df6888d1766
41396865,2015-04-28,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,26,,e1e4199c-bf93-40ba-934d-6d3f0e0070f5
41303170,2016-09-08,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,31,,1a0b95c5-2aa8-416d-955c-627f3ea9f667
40861103,2014-06-26,,,Not Applicable,0,A,a85933e6-670f-4c7b-b748-101c87b53cba
40610326,2016-06-09,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,9,A,cb32ae18-03ac-4a84-9ff0-9020eb9cb7c5
50044020,2016-02-08,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,fd84f59b-dc7e-433f-bac0-1ce49f8b8780
41396241,2013-11-26,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,111e81e2-1f6a-4912-a8d9-e93db4e8c9ca
40563475,2015-02-03,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,29,,ec2e6bf9-d0ee-49e9-ba40-97efb944f8f0
41580873,2014-12-12,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,6,,4c378f97-9591-493b-988e-e4a29666bd3c
50000433,2015-05-06,04B,"Food worker prepares food or handles utensil when ill with a disease transmissible by food, or have exposed infected cut or burn on hand.",Critical,19,,1491e243-e967-4563-91eb-6dd718dc025c
41462077,2015-09-03,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,d095b532-f1b2-414f-a45c-c6266ab8c815
41716520,2016-05-31,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,6539a919-b60e-4954-a61a-b704bdf3eaf3
50000244,2013-07-29,04F,"Food, food preparation area, food storage area, area used by employees or patrons, contaminated by sewage or liquid waste.",Critical,22,,5ed49a3f-6f83-4c44-b259-d7202e65e8eb
41703749,2014-08-26,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,31,,ca9088e2-6e5f-4af2-808c-01f4a4c2a9d4
41636255,2013-11-18,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,0,,9c5501ec-e04d-448b-af61-923349f7ccbb
50011700,2015-09-03,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,27,,cc4d60c6-3401-4f3b-ae38-5a8da1036bf2
41615913,2015-06-17,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,22,,edaa2cba-fca5-4a20-9909-6bafe9ecf2fd
41586226,2013-04-08,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,27,B,9b9618f5-224e-4f02-93a4-23b18c0fdd81
41249034,2014-12-29,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,21,,1331eed7-82bc-49dd-bc67-966030813d80
41696173,2014-06-19,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,d24c562e-3b09-49cc-9b55-11501f58879f
41693620,2014-08-07,,,Not Applicable,0,A,60bee0ac-2f58-4ed5-9121-c9cc88b92b08
41502729,2014-02-22,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,26,,2e9ac7e9-afb4-4d3a-b69f-516cdfc5146a
41393625,2014-09-08,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility's food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13,A,6fd6345e-0b58-4f7d-83d8-8fddbea6a581
40403586,2016-09-28,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Ã‚Âº F to 70Ã‚Âº F or less within 2 hours, and from 70Ã‚Âº F to 41Ã‚Âº F or less within 4 additional hours.",Critical,36,,724b2094-4a52-43c0-bf46-044cdeffe838
41128669,2015-05-21,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,9,A,15bf7882-2c9a-454e-a8a1-cb138866f3c5
50000616,2015-06-15,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,8,A,e3e62358-be51-419d-bd9a-3d0dc381d3f5
40654328,2013-03-19,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,13,A,08a5a908-825e-440b-aa37-49c3077c36c5
41576915,2014-05-29,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,21,,da166a0a-84c2-471f-80a1-bd9769ab5e28
41676306,2014-05-21,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,6,A,130483fe-6964-4c54-abe6-2e4d61ddaca0
41533985,2016-01-07,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,56dcbcc7-6148-4203-a60d-5b9a8413db93
41595417,2016-07-25,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,900de8e4-688a-44c6-ac21-5a27fc78ca60
41026847,2013-07-23,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,41b95cd5-d492-45fa-a78f-80420c3bb57b
50010975,2015-09-21,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,0,,be0b6ac0-0d3c-4ead-808c-aec8673275f4
41373941,2015-09-14,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,17,,9a17bd0a-b564-451b-80b4-9354ae6ee1d5
41435738,2013-05-30,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,9,A,bb36535f-c23e-4b9e-94b8-8fb65f12065a
50010946,2015-04-28,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,18,,ebb3d18e-bae1-4dad-91cc-6c8ae8beb89d
50011318,2016-09-02,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,9,A,21e057d0-5566-4b7b-9014-ba53e0a84499
41379625,2015-10-01,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility's food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,20,,59619291-8d04-4f6c-ac36-39fdbbf92027
50009364,2016-09-15,20D,"Choking first aid' poster not posted. 'Alcohol and pregnancy' warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted. Inspection report sign not posted.",Not Critical,0,,5ebc1a95-a5e2-4f64-9df8-6f951f94008a
40392685,2015-01-26,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,48,C,76709b39-b041-4132-835d-784a3e1f63f9
41490506,2014-07-30,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,14,,0f950912-e8b3-4b56-97fc-b0c7fcffc7e8
40397492,2013-05-08,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,21,,d2a3260a-ae75-40c0-b812-da1504d79d7c
41252132,2014-03-07,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,9,A,f656b275-68f8-4cce-a58b-4955e48321d1
41478516,2014-09-25,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,28,,a5ad95b0-81cb-441c-95af-c7864db104ab
41652985,2015-06-18,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,11,A,d8653300-86bc-46dc-a3bd-ad51c3bd1f62
50000229,2014-09-16,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility's food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,28,,71f24bce-b3aa-4be3-a6bb-6e2d377c1d1a
40402266,2016-03-30,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,bc0e3473-19ac-4ce1-a8c6-e77e2e0a5edc
41638961,2016-07-18,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,21,,db67a0d0-99a4-4987-a761-d3c61c19e0ae
50046268,2016-05-31,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,18,,15fa4b68-bb2f-44cf-836d-ac2532bc76fb
