idRestaurant,name,borough,buildingnum,street,zipcode,phone,cuisineType,inspectionDate,violationCode,violationDescription,criticalFlag,score,grade
50011317,JOONG KOOG JIP,QUEENS,20316,NORTHERN BLVD,11361,7184282221,Korean,2014-12-23,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A
41105399,CROWN FRIED CHICKEN,BRONX,343,EAST  194 STREET,10458,7182202727,Chicken,2012-11-29,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,9,A
50001882,VS BERRY,MANHATTAN,577,ISHAM ST,10034,2123041110,American,2016-02-11,20A,Food allergy information poster not conspicuously posted where food is being prepared or processed by food workers.,Not Critical,0,
50045023,LEE CHINESE RESTAURANT,BROOKLYN,1884,FULTON ST,11233,7189634190,Chinese,2016-02-08,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,23,
41079283,THE BROTHERS CAFE,QUEENS,3949,43 AVENUE,11104,7183615556,American,2016-06-29,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,16,B
40601696,WOO CHON RESTAURANT,QUEENS,4119,KISSENA BOULEVARD,11355,7184630803,Korean,2013-08-26,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility's food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,56,
50048216,JOE & THE JUICE,MANHATTAN,1114,AVE AMERICAS,10036,9175654016,"Juice, Smoothies, Fruit Salads",2016-08-22,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,43,
40510804,WOODROW DINER,STATEN ISLAND,655,ROSSVILLE AVENUE,10309,7186054031,American,2013-11-06,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,27,
40659340,SEOUL GARDEN,MANHATTAN,34,WEST   32 STREET,10001,2127369002,Korean,2014-04-22,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,24,
40512425,MCDONALD'S,BROOKLYN,5713,CHURCH AVENUE,11203,7189226085,Hamburgers,2016-04-18,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,16,
41444147,NATIONAL RESTAURANT & COFFEE SHOP,BRONX,6-8,BEDFORD PARK BOULEVARD,10468,7183655515,American,2014-09-11,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,7,A
41658676,CHINA KING,BROOKLYN,2683,PITKIN AVENUE,11208,7182777113,Chinese,2013-08-13,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,24,
41183605,TROPICAL 128,MANHATTAN,128,ELIZABETH STREET,10013,2129258219,American,2015-12-14,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,18,
41443537,A&E TENOCHTITLAN DELI & TAQUERIA,BRONX,2445,CRESTON AVENUE,10468,7182956090,Mexican,2014-06-06,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,0,
41536371,SAM HO TAKEOUT RESTAURANT,BRONX,3421,JEROME AVENUE,10467,7186551725,Chinese,2014-12-02,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturer's documentation not maintained on site.",Not Critical,0,
41689407,NORTHERN MANOR,QUEENS,25113,NORTHERN BLVD,11362,7182811500,Chinese,2016-07-25,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,
41422049,THE FACULTY HOUSE,MANHATTAN,64,MORNINGSIDE DRIVE,10027,2128545534,American,2016-04-12,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,15,
40751226,NHA-TRANG CENTRE VIETNAM RESTAURANT,MANHATTAN,148,CENTRE STREET,10013,2129419292,Vietnamese/Cambodian/Malaysia,2014-09-11,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,12,
40961549,POPEYES LOUISIANA KITCHEN,BROOKLYN,722,FLATBUSH AVENUE,11225,7188567880,Chicken,2014-12-18,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,9,A
40364863,SERENDIPITY 3,MANHATTAN,225,EAST   60 STREET,10022,2128383531,American,2015-07-30,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,13,A
41540476,JOE'S PIZZA,BROOKLYN,349,5 AVENUE,11215,7188322525,Pizza/Italian,2014-06-04,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,12,A
41690780,CAFE EVERGREEN,MANHATTAN,1367,1 AVENUE,10021,2127443266,Chinese,2015-06-10,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,44,
50014784,RAMEN MEIJIN,MANHATTAN,1574,2ND AVE,10028,6462885884,Japanese,2016-05-24,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,4,A
50049315,TBAAR,BROOKLYN,6317,8TH AVE,11220,9172135932,"Juice, Smoothies, Fruit Salads",2016-06-08,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,9,A
41613806,THE BEST $1.00 PIZZA,MANHATTAN,171,WEST   23 STREET,10011,2126478777,Pizza,2015-06-16,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,25,
50034296,BAKER'S TREAT,BROOKLYN,1625,NOSTRAND AVE,11226,7188262253,Caribbean,2016-01-28,22F,,Not Applicable,7,
40574733,VINNY'S OF CARROLL GARDEN RESTAURANT & LUNCHEONETT,BROOKLYN,295,SMITH STREET,11231,7188755600,Italian,2014-09-25,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,34,C
41420397,69 BAR LOUNGE,QUEENS,3821,69 STREET,11377,3475437183,"Bottled beverages, including water, sodas, juices, etc.",2014-11-19,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,9,
50014170,SABOR Y TRADICION PERUVIAN RESTAURANT,STATEN ISLAND,2220,FOREST AVE,10303,3474664057,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2014-09-11,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,40,
50017709,NICKOLAS' DELI RESTAURANT,QUEENS,6945,51ST AVE,11377,7184249316,Spanish,2015-04-14,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,16,B
50003165,CORK 'N FORK,MANHATTAN,186,AVENUE A,10009,6467070707,Tapas,2015-01-07,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A
50038374,TUK TUK,QUEENS,4906,VERNON BLVD,11101,7184725598,Thai,2016-07-13,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,
50037340,HAYASHI JAPANESE CUISINE,BROOKLYN,2901,OCEAN AVE,11235,7183683667,Japanese,2015-09-08,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,19,
41210694,NEW CHINA HOUSE,QUEENS,4401,30 AVENUE,11103,7187211110,Chinese,2016-05-03,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,9,A
41210485,BISTRO CHAT NOIR,MANHATTAN,22,EAST   66 STREET,10065,2127942428,French,2016-10-13,04M,Live roaches present in facility's food and/or non-food areas.,Critical,20,
41311641,ROLLIN GREENS,QUEENS,24777,JAMAICA AVENUE,11426,7183433313,American,2016-03-30,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,11,A
41404028,SHINY HOUSE RESTAURANT,QUEENS,21417,JAMAICA AVENUE,11428,7184644248,Chinese,2016-08-01,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,13,A
40398578,DYCKMAN BAR,MANHATTAN,221,DYCKMAN STREET,10034,6463603018,American,2014-07-10,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,29,
50017407,CROWN FRIED CHICKEN,QUEENS,8792,PARSONS BLVD,11432,3475925020,American,2014-12-20,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,19,
40999287,IL COLOSSEO,BROOKLYN,7704,18 AVENUE,11214,7182343663,Italian,2014-02-04,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,36,
41276672,THE AUSTRALIAN,MANHATTAN,20,WEST 38 STREET,10018,2128698601,Australian,2013-05-21,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility's food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,28,
50018084,CAFE SILAN,MANHATTAN,280,E 10TH ST,10009,2122602400,American,2015-03-19,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,5,A
41313211,AFRICAN AMERICAN BEST FOOD,MANHATTAN,410,LENOX AVENUE,10037,2126908052,African,2014-09-11,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A
41292268,T BAAR,BROOKLYN,4823,8 AVENUE,11220,3473503522,"Juice, Smoothies, Fruit Salads",2016-09-09,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,45,
41579887,UPSTATE,MANHATTAN,95,1 AVENUE,10003,9176748956,Seafood,2015-09-03,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,7,A
41590317,THAI ROCK,QUEENS,375,BEACH   92 STREET,11693,7189455111,Thai,2014-08-26,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,9,A
41693374,ALEX CAFE & DELI,MANHATTAN,1018,LEXINGTON AVENUE,10021,2127449666,American,2014-02-12,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,26,B
50036849,ENERGY FUEL,BROOKLYN,9522,4TH AVE,11209,7184918686,Sandwiches,2015-06-25,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,49,
41707193,SWEET BUTTONS,MANHATTAN,7884,RIVINGTON STREET,10002,2122538484,American,2016-07-20,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A
50003457,GRULLON BAKERY,MANHATTAN,3522,BROADWAY,10031,6463295495,Bakery,2013-11-19,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,22,B
40399955,SCHICK'S MANOR,BROOKLYN,4901,12 AVENUE,11219,7188536329,Jewish/Kosher,2015-04-16,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9,A
41264084,Evelyn,MANHATTAN,171,AVENUE C,10009,2122547772,American,2013-08-13,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,20,B
50037535,LOFT 142,MANHATTAN,547,W 142ND ST,10031,6464787284,Spanish,2016-01-19,22A,"Nuisance created or allowed to exist. Facility not free from unsafe, hazardous, offensive or annoying conditions.",Not Critical,0,
50055159,,BROOKLYN,1631,SHEEPSHEAD BAY RD,11235,7188388376,Other,1900-01-01,,,Not Applicable,0,
41560911,ANTALIA TURKISH CUISINE,MANHATTAN,17,WEST   45 STREET,10036,2122213333,Turkish,2015-01-12,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,12,A
41212364,BECKETT'S,MANHATTAN,81,PEARL STREET,10004,2122691001,American,2016-05-26,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,12,
40388419,FAMOUS FAMIGLIA PIZZERIA,MANHATTAN,2859,BROADWAY,10025,2128651234,Pizza,2014-08-20,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,25,B
41471148,TALLGRASS BURGER,MANHATTAN,214,1 AVENUE,10009,2122532990,Hamburgers,2016-05-31,,,Not Applicable,0,
50045318,DELICIOUS PIZZA CAFE,BRONX,269,W KINGSBRIDGE RD,10463,7188845501,Pizza/Italian,2016-06-25,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,53,
50046536,PITA GRILL,MANHATTAN,441,3RD AVE,10016,2126833008,Mediterranean,2016-08-22,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,63,
41374953,PRIMADONNA RISTORANTE PIZZERIA,QUEENS,10018,QUEENS BOULEVARD,11375,7184593500,Pizza,2014-02-12,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A
41620314,STAR'S CAFE (WESTIN HOTEL),MANHATTAN,270,WEST   43 STREET,10036,2122012766,American,2014-01-24,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,10,A
41362423,CIBO EXPRESS GOURMET MARKET,QUEENS,0,JFK INTL. AIRPORT,11430,6464835087,American,2014-11-12,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,2,A
50006236,FRENCH LOUIE,BROOKLYN,320,ATLANTIC AVE,11201,7189351200,French,2016-02-09,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,11,A
41614214,OUR VILLAGE ROTI SHOP,QUEENS,21161,JAMAICA AVENUE,11428,7187401011,Caribbean,2015-04-01,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,14,
41221362,SING FEI RESTAURANT,BRONX,263,EAST GUNHILL ROAD,10467,7187986677,Chinese,2014-09-22,04M,Live roaches present in facility's food and/or non-food areas.,Critical,20,
41720232,VANILLA SKY,QUEENS,7035,AUSTIN STREET,11375,7185440540,"Ice Cream, Gelato, Yogurt, Ices",2015-05-21,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7,A
50014318,VOGA LOUNGE & GRILL,MANHATTAN,300,AUDUBON AVE,10033,2123908490,Spanish,2014-08-29,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,5,
40671821,DAGAN PIZZA & DAIRY RESTAURANT,BROOKLYN,4820,16 AVENUE,11204,7184355711,Jewish/Kosher,2015-02-26,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,25,B
41115188,WATERFALLS ITALIAN CUISINE,STATEN ISLAND,2016,VICTORY BOULEVARD,10314,7188157200,Italian,2016-06-08,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8,A
50000224,XING SHENG,BRONX,115,FEATHERBED LANE,10452,7182992336,Chinese,2016-01-21,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,18,
41702681,TACOS VELOZ,QUEENS,9010,ROOSEVELT AVENUE,11372,3478635010,Mexican,2016-03-17,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,12,A
50003778,QUE RICO TACO,QUEENS,3307,89TH ST,11372,7186394202,Mexican,2013-11-21,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,16,
41501035,STATION CAFE,BROOKLYN,224,FOURTH AVENUE,11215,7185222083,American,2015-01-13,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,26,
50005926,EL BUEN GUSTO RESTAURANT,BROOKLYN,5201,4TH AVE,11220,7188496001,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2016-09-19,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,29,
50017016,DUNKIN' DONUTS,QUEENS,4480,21ST ST,11101,7187070019,Donuts,2016-07-22,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,7,A
40393725,TRIBECA GRILL,MANHATTAN,375,GREENWICH STREET,10013,2129413900,American,2016-10-03,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility's food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,20,
41664920,Q & L BAKERY,BROOKLYN,6516,11 AVENUE,11219,7182382638,Chinese,2014-12-05,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,15,
40368971,LA MANGEOIRE,MANHATTAN,1008,2 AVENUE,10022,2127597086,French,2016-04-22,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,14,
50016031,ARROGANT SWINE,BROOKLYN,173,MORGAN AVE,11237,6462500030,Barbecue,2014-10-08,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,52,
41124419,BURGER HUT,BRONX,152112,WESTCHESTER AVENUE,10472,7188426426,American,2014-08-06,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A
50008767,MR. PIZZA,STATEN ISLAND,2325,RICHMOND AVE,10314,7183700102,Pizza,2014-06-17,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,40,
41463147,MASAKE,BROOKLYN,1704,AVENUE M,11230,7189988670,Chinese/Japanese,2014-03-27,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,16,B
50015893,J'S ON THE BAY,STATEN ISLAND,1189,BAY STREET,10305,7187200922,American,2015-02-19,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,26,
41543887,BEAUTY AND ESSEX,MANHATTAN,146,ESSEX STREET,10002,2126140146,American,2013-09-17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,31,
41716209,AJISAI,MANHATTAN,795,LEXINGTON AVENUE,10065,2123550888,Japanese,2015-10-16,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7,A
41712479,SHADY LADY,QUEENS,3419,30 AVENUE,11103,7184409081,Continental,2013-11-29,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,31,
40680764,JOE'S PLACE,BRONX,1841,WESTCHESTER AVENUE,10472,7189182947,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2015-04-13,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,27,B
50003360,GROUND CENTRAL COFFEE COMPANY,MANHATTAN,155,EAST 52 STREET,10022,6469644438,CafÃƒÂ©/Coffee/Tea,2015-06-05,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A
41198338,ROYALE,MANHATTAN,157,AVENUE C,10009,2122546600,American,2015-09-29,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,17,B
50034555,DUMPLINGS GO,MANHATTAN,516,HUDSON ST,10014,2129891888,Asian,2015-08-17,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,26,
41488662,PONTE EN FORMA,BRONX,2168,ELLIS AVENUE,10462,6462347364,American,2014-04-26,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,12,A
50015665,EPI D'OR KREYOL,QUEENS,22318,LINDEN BLVD,11411,7187230001,Creole,2016-09-14,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,32,
41566334,THE ANCHORED INN,BROOKLYN,57,WATERBURY STREET,11206,7185763297,American,2015-08-31,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,5,A
41308759,KU SHIANG RESTAURANT,QUEENS,13538,39 AVENUE,11354,7189395468,Chinese,2016-08-23,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,27,B
41695531,PANERA BREAD,MANHATTAN,4,WEST   40 STREET,10018,2129386950,American,2015-06-19,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,18,
41468186,SUBWAY,MANHATTAN,437,PARK AVENUE SOUTH,10016,2126861222,Sandwiches,2015-09-17,04M,Live roaches present in facility's food and/or non-food areas.,Critical,11,A
41256036,KINGSTON BAKE SHOP,BROOKLYN,380,KINGSTON AVENUE,11225,7184672047,Jewish/Kosher,2014-03-19,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,12,
41719668,CHINESE FOOD RESTAURANT,QUEENS,7700,QUEENS BOULEVARD,11373,7188039088,Chinese,2016-07-06,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,51,C
41613270,THE BEAN,MANHATTAN,824,BROADWAY,10003,2125107714,CafÃƒÂ©/Coffee/Tea,2014-02-07,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,40,
41407999,BERMUDEZ BAKERY,MANHATTAN,1875,LEXINGTON AVENUE,10035,2124272877,Bakery,2015-04-27,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,23,
50015431,SUBWAY,QUEENS,6820,ROCKAWAY BEACH BLVD,11692,3472469647,Sandwiches/Salads/Mixed Buffet,2014-11-20,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,10,A
50037771,UPAYA'S RESTAURANT,QUEENS,4008,HAMPTON ST,11373,9292969495,Other,2016-02-02,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,11,A
40874132,SIDESHOWS BY THE SEASHORE,BROOKLYN,1208,SURF AVENUE,11224,7183725159,American,2015-06-06,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,0,
41549980,LA FOLLIA,MANHATTAN,226,3 AVENUE,10003,2124774100,Italian,2013-10-17,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,17,
50018952,NORTHSIDE BAKERY,BROOKLYN,190,NASSAU AVE,11222,7183497775,Polish,2015-07-21,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,5,A
40383506,TONY'S PIZZERIA,BROOKLYN,1412,ST JOHNS PLACE,11213,7188040966,Pizza/Italian,2015-02-28,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,21,
41346086,KEN'S ASIAN TASTE,MANHATTAN,40,BOWERY,10013,2126080806,Chinese,2016-01-20,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,28,C
41688672,WOK CHINESE RESTAURANT,QUEENS,7921,37 AVENUE,11372,7188987861,Chinese,2015-10-28,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,7,A
40984001,LABADEE MANOIR,QUEENS,2071315,JAMAICA AVENUE,11428,7184644400,Caribbean,2016-01-04,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,53,C
41637516,MR CHANS RESTAURANT,BROOKLYN,1269,RALPH AVENUE,11236,7184511514,Chinese,2015-04-20,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,23,
41377990,ESTRELLA DEL MAR RESTAURANT,QUEENS,552,SENECA AVENUE,11385,7184567496,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2016-02-25,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,7,A
41391795,DREXLER'S,MANHATTAN,9,AVENUE A,10009,6465245226,American,2013-05-02,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,24,
40386425,Tasty's,QUEENS,5802,MYRTLE AVENUE,11385,7184560954,American,2015-07-29,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,20,
40563475,MAMOUN FALAFEL,MANHATTAN,119,MACDOUGAL STREET,10012,2126748685,Middle Eastern,2015-06-26,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A
41461968,SAPPHIRE,QUEENS,3611,164 STREET,11358,7184450035,Korean,2015-11-13,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,13,A
41273144,LA COLOMBE TORREFACTION,MANHATTAN,319,CHURCH STREET,10013,2123431515,CafÃƒÂ©/Coffee/Tea,2014-01-24,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,19,
41128262,BRUNO RAVIOLI,MANHATTAN,282284,1 AVENUE,10009,2122542156,American,2014-06-19,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,5,A
50017538,ELI'S ESSENTIALS,MANHATTAN,1390,3RD AVE,10075,2128797160,American,2016-09-16,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,15,
50045296,ORGANIC FOOD NATURAL JUICES ND COFFEE,QUEENS,8630,ROOSEVELT AVE,11372,9174201425,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2016-01-07,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,
